golden_index,customer_text,intent_label,top1_score,top3_avg_score,top5_avg_score,top1_customer_text,top1_response_text,top1_customer_tweet_id
0,I'm over Apple and the keyboard fucking up o v e r it @115858 get your shit together bro,keyboard_input,0.7337058782577515,0.7105504870414734,0.701140820980072,WHAT THE FUCK @115858!!!!!! FIX THIS KEYBOARD SHIT RIGHT NOW 🤬🤬🤬🤬🤬 I️ I️ I️ I️ I️ I️,@624022 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2117196
1,"@397857 @115858 How can an update change battery drain so much? All I know is it does, 3 charges today!",battery_power,0.6876704692840576,0.6862177848815918,0.6772859692573547,"Hey @115858 you’re new update drains battery super fast, figure it out",@361971 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,1022578
2,@AppleSupport I cannot change my Apple ID as the verification code is being sent to a closed email address. Help!,apple_id_account,0.7479331493377686,0.729050874710083,0.714842677116394,@AppleSupport Yes. I read and did that. I get a message that says I cannot change my Apple ID to an email ending in @798. Which is contrary to the document,@123181 We'd like to take a closer look at this with you. Send us a DM and we'll meet up with you there. https://t.co/GDrqU22YpT,32400
3,@AppleSupport seeing a new oddity with iOS 11. Recently reset whole phone and restored a backup. This resulted in a massive improvement from the auto-update (Good). However now sometimes apps won’t load at all and hang on the splash screen. Happens for all apps when it hits.,apps_services,0.728298008441925,0.7129399180412292,0.7002152800559998,"@AppleSupport . ios 11 update, phone started to hang.. apple going android way😅",@132417 We'd like to look into this with you. What is your exact iOS version? You can find it at Settings &gt; General &gt; About.,73400
4,So I️ think everyone accepted the stupid fucking question mark boxes @115858 except me this shit is annoying,keyboard_input,0.7686545848846436,0.7343409061431885,0.72064208984375,Wtf @115858 fix your shit i am sick of seeing that stupid question mark box,@626787 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2129217
5,So @115858 do I have to buy a new line from Apple store to buy iPhone x???  Just want my phone!  Can’t place an order!  Trying to pay $$$ https://t.co/S4nWhtXH5D,purchases_orders_refunds,0.6717836260795593,0.6274041533470154,0.6146501302719116,@AppleSupport trying to complete iPhone X order but not letting me because i have VZ biz account.  i plan on paying full retail. pls help.,@203775 We can look into this with you. Join us in DM. https://t.co/GDrqU22YpT,1378523
6,I’m tired of @115858 having such easily crackable phones. This is the fourth time and it doesn’t matter if I have a case or not,hardware_accessories,0.6681795716285706,0.6590111255645752,0.6532930731773376,@115858 Fix my phone or I’ll literally have to go back to using a blackberry and that would not be a good look!!!,@693327 Thanks for reaching out.  We want to help.  Can you tell us more about what you are experiencing with your iPhone?,2411591
7,"@AppleSupport HD camera in my new MacBookPro (2016) is not HD at all. No matter the light, there is always grain on the picture. Is it the hardware problem or is it normal that MBP camera sucks?",hardware_accessories,0.5369478464126587,0.5135669112205505,0.4932126998901367,@AppleSupport Using an iPhone 7 with iOS 11.0.3 and problem is only in rear camera which is taking blurry photos.,@390588 Thank you for that information. Let's try working through the steps in this article for your camera: https://t.co/r1DRfaFLIU,1149866
8,@739051 @AppleSupport I just bought my iphone 6 second hand. I thought it was a dodgy battery because it drained quick. It looks like I'm not the only one. Hmmmm!,apple_id_account,0.7257725596427917,0.7223663330078125,0.718574047088623,@AppleSupport IOS 11.03 battery drains quickly. I have 6S plus and wife has 6S.,"@167564 We'd love to help you with this. First, update to iOS 11.1, retest, and meet us in DM if the concerns persist here: https://t.co/GDrqU22YpT",1991402
9,"@AppleSupport I am experiencing massive #Bluetooth issues with my #iPhoneX. Dropouts with Bluetooth headphones, even #AirPods, spotty connection to Apple Watch Series 3. Highly aggravating. 😔 Any hints what I could do?",connectivity,1.0,0.7273359298706055,0.6681663393974304,"@AppleSupport I am experiencing massive #Bluetooth issues with my #iPhoneX. Dropouts with Bluetooth headphones, even #AirPods, spotty connection to Apple Watch Series 3. Highly aggravating. 😔 Any hints what I could do?",@743468 We're here for you. Which version of the iOS are you running? You can check by tapping on Settings &gt; General &gt; About.,2633110
10,@AppleSupport which drops the battery time even if the iphone is in standby. please check and fix,battery_power,0.7417620420455933,0.7166522145271301,0.7049595713615417,@AppleSupport A very harsh battery life on my iPhone .Please fix it with a software update https://t.co/XFiasD3IIb,@742763 Happy to look into this with you. What app seems to be using the most battery power here? Scroll up a bit to see. DM us and let us know. https://t.co/GDrqU22YpT,2630198
11,@115858 your products are junk. My headphones broke within 3 months of purchase with my iPhone 7. I've barely even used it and I'm in a temperate climate. What excuse do you have for such a short lived trash product for that price?!,hardware_accessories,0.6279761791229248,0.6209927201271057,0.6113187670707703,Within one weekend I managed to both crack my iPhone screen and get a shortage in my EarPods. @115858 I️ need answers...,@679448 We can help out. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,2350790
12,"Every time I try to type “it”, my phone autocorrects to “I.T” WTF @115858 @AppleSupport. These updates have been pure trash!",keyboard_input,0.7730342149734497,0.7440729141235352,0.7323147058486938,@AppleSupport why is my IPhone now all of the sudden autocorrecting the word “it” to I.T ?!? It’s so frustrating!,@672655 Would you mind please joining us in DM? We'd like to start there please: https://t.co/GDrqU22YpT,2321163
13,@AppleSupport 3D touch in screen #ios11 isn’t work why?,hardware_accessories,0.739578366279602,0.7313518524169922,0.7233453989028931,@AppleSupport iOS 11.0.3,@393965 Do you use any other devices with the Activity App?,1164668
14,Why does my I️ key keep coming out like the question mark symbol? @AppleSupport,keyboard_input,0.7870853543281555,0.7676957249641418,0.7538198232650757,@AppleSupport wtf goin on wit the keyboard... why every time I type “I️” it try and change it to “A wit a question mark inside a box”,@583857 You're reaching out to the right handle. We'd like to explore what's happening together. Please join us in DM to get started. https://t.co/GDrqU22YpT,1971125
15,@AppleSupport I have a IPHONE 7 plus since new download of IOS11 all my voice mail no longer transcribe. I want it back!! What do I do?????,apps_services,0.6856726408004761,0.6782875061035156,0.6429484486579895,"After this iPhone software upgrade, my voicemail is all messed up. I gotta call my voicemail like a Neanderthal to check my messages. 

@115858","@778255 Thank you for reaching out to us. When you open the Phone app and tap Voicemail, does anything appear there?",2787798
16,"@AppleSupport I pre-purchased a book in iBooks that should be available now, but iBooks only shows it as bought - can‘t download. Now what?",purchases_orders_refunds,0.7610952258110046,0.6835930347442627,0.6242429614067078,@AppleSupport what happened to iBooks? I cant download books from google and add them to iBooks why?????????? No not storage issue,@270304 We're here for you. Are you able to download a free book directly from iBooks Store? Are you using a Mac or iOS Device?,634029
17,@AppleSupport I downloaded the new iOS and my battery life has become non existent. Pls send help,battery_power,0.7990301847457886,0.7857623100280762,0.7783864736557007,"@AppleSupport hi, since the latest IOS update my battery life has been shocking. Is there anything that can be done to rectify this? Thanks","@776617 We can check into what is going on with your battery together. Meet us in DM to gather some information, please. https://t.co/GDrqU22YpT",2780687
18,@AppleSupport my itunes gift card money mysteriously disappeared  from my itunes account?,purchases_orders_refunds,1.0,0.7947301864624023,0.7418277263641357,@AppleSupport my itunes gift card money mysteriously disappeared  from my itunes account?,"@160299 We know how important this is. For more help, please reach out to our iTunes team here:  https://t.co/SDIe7UiyJN",2116232
19,@AppleSupport UPDATE OUR PHONES MINE KEEPS FREEZING WHAT IF IM DYING,device_performance,0.8777025938034058,0.8618695735931396,0.8491414785385132,@AppleSupport Can I get this update off my phone? My phone keeps freezing...,@608040 We want to be sure you can enjoy the new update. We'd love to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,6828
20,"@AppleSupport I’ve tried both, cellular data and WiFi and it’s the latest update",connectivity,0.8465579748153687,0.7994882464408875,0.7760277986526489,@AppleSupport I tried both WiFi and cellular,@325615 Is it possible to try downloading another song or album to see if the issue continues?,865886
21,"@AppleSupport So when the Apple Watch isn't able to control the music app on the phone, is it the watch, or the phone that is failing?",apps_services,0.7026870250701904,0.6970208287239075,0.6849695444107056,@AppleSupport can’t seem to change my music playing on my phone via workout on the #AppleWatch anymore?! Where’s this gone?,@174562 We're glad you asked. Now you can create a playlist on your Apple Watch. Check this out: https://t.co/kPrTO9IGph,285209
22,@AppleSupport why does my music player always appear on my lock screen? I’m not playing music nor is it connected to a Bluetooth device.,apps_services,0.7594125866889954,0.7177565693855286,0.7023909091949463,@AppleSupport my music app doesn’t work on the lock screen (iphone 7),"@317223 Does it not show the currently playing track, or do the buttons to control it not respond?",827908
