customer_tweet_id,customer_text,intent_label,trivial_prediction,simple_prediction,trivial_correct,simple_correct,trivial_reply,simple_reply,trivial_escalate,simple_escalate
2000389,I'm over Apple and the keyboard fucking up o v e r it @115858 get your shit together bro,keyboard_input,ios_update_issues,keyboard_input,False,True,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry you're having trouble with typing. Could you tell us your iPhone model and iOS version and describe what characters appear?,False,False
1181504,"@397857 @115858 How can an update change battery drain so much? All I know is it does, 3 charges today!",battery_power,ios_update_issues,battery_power,False,True,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry to hear about the battery issue. Could you share your iPhone model and iOS version?,False,False
2010075,@AppleSupport I cannot change my Apple ID as the verification code is being sent to a closed email address. Help!,apple_id_account,ios_update_issues,apple_id_account,False,True,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry you're having trouble with your Apple ID. Please let us know where you're trying to sign in and what message you're seeing.,False,True
2757530,@AppleSupport seeing a new oddity with iOS 11. Recently reset whole phone and restored a backup. This resulted in a massive improvement from the auto-update (Good). However now sometimes apps won’t load at all and hang on the splash screen. Happens for all apps when it hits.,apps_services,ios_update_issues,ios_update_issues,False,False,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry you're having trouble after an iOS update. Could you share your iPhone model and iOS version?,False,False
1620586,So I️ think everyone accepted the stupid fucking question mark boxes @115858 except me this shit is annoying,keyboard_input,ios_update_issues,other_unclear,False,False,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Thanks for reaching out. Could you provide more details about the issue you're experiencing?,False,True
1337287,So @115858 do I have to buy a new line from Apple store to buy iPhone x???  Just want my phone!  Can’t place an order!  Trying to pay $$$ https://t.co/S4nWhtXH5D,purchases_orders_refunds,ios_update_issues,purchases_orders_refunds,False,True,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry about the purchase issue. Please let us know what was purchased and where the purchase was made so we can look into it.,False,True
1874494,I’m tired of @115858 having such easily crackable phones. This is the fourth time and it doesn’t matter if I have a case or not,hardware_accessories,ios_update_issues,hardware_accessories,False,True,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry you're having trouble with your device or accessory. Could you tell us the device model and what happens when you try to use it?,False,False
2123864,"@AppleSupport HD camera in my new MacBookPro (2016) is not HD at all. No matter the light, there is always grain on the picture. Is it the hardware problem or is it normal that MBP camera sucks?",hardware_accessories,ios_update_issues,hardware_accessories,False,True,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry you're having trouble with your device or accessory. Could you tell us the device model and what happens when you try to use it?,False,False
2616499,@739051 @AppleSupport I just bought my iphone 6 second hand. I thought it was a dodgy battery because it drained quick. It looks like I'm not the only one. Hmmmm!,apple_id_account,ios_update_issues,purchases_orders_refunds,False,False,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry about the purchase issue. Please let us know what was purchased and where the purchase was made so we can look into it.,False,True
2633110,"@AppleSupport I am experiencing massive #Bluetooth issues with my #iPhoneX. Dropouts with Bluetooth headphones, even #AirPods, spotty connection to Apple Watch Series 3. Highly aggravating. 😔 Any hints what I could do?",connectivity,ios_update_issues,hardware_accessories,False,False,Thanks for reaching out to Apple Support. We'd be happy to help. Please provide more details about the issue you're experiencing.,Sorry you're having trouble with your device or accessory. Could you tell us the device model and what happens when you try to use it?,False,False
