customer_tweet_id,customer_text,gold_intent,top1_similarity,top3_mean_similarity
2000389,I'm over Apple and the keyboard fucking up o v e r it @115858 get your shit together bro,keyboard_input,0.7592496871948242,0.7467824021975199
1181504,"@397857 @115858 How can an update change battery drain so much? All I know is it does, 3 charges today!",battery_power,0.7678704261779785,0.7345568339029948
2010075,@AppleSupport I cannot change my Apple ID as the verification code is being sent to a closed email address. Help!,apple_id_account,0.7305445671081543,0.7181474765141805
2757530,@AppleSupport seeing a new oddity with iOS 11. Recently reset whole phone and restored a backup. This resulted in a massive improvement from the auto-update (Good). However now sometimes apps won’t load at all and hang on the splash screen. Happens for all apps when it hits.,apps_services,0.7261159420013428,0.7204575538635254
1620586,So I️ think everyone accepted the stupid fucking question mark boxes @115858 except me this shit is annoying,keyboard_input,0.7365870475769043,0.7041495442390442
1337287,So @115858 do I have to buy a new line from Apple store to buy iPhone x???  Just want my phone!  Can’t place an order!  Trying to pay $$$ https://t.co/S4nWhtXH5D,purchases_orders_refunds,0.7156155109405518,0.6842259168624878
1874494,I’m tired of @115858 having such easily crackable phones. This is the fourth time and it doesn’t matter if I have a case or not,hardware_accessories,0.6880605220794678,0.677536129951477
2123864,"@AppleSupport HD camera in my new MacBookPro (2016) is not HD at all. No matter the light, there is always grain on the picture. Is it the hardware problem or is it normal that MBP camera sucks?",hardware_accessories,0.5395689010620117,0.5370415250460306
2616499,@739051 @AppleSupport I just bought my iphone 6 second hand. I thought it was a dodgy battery because it drained quick. It looks like I'm not the only one. Hmmmm!,apple_id_account,0.7436985969543457,0.7325678467750549
2633110,"@AppleSupport I am experiencing massive #Bluetooth issues with my #iPhoneX. Dropouts with Bluetooth headphones, even #AirPods, spotty connection to Apple Watch Series 3. Highly aggravating. 😔 Any hints what I could do?",connectivity,0.6535137891769409,0.6437413493792216
1151854,@AppleSupport which drops the battery time even if the iphone is in standby. please check and fix,battery_power,0.7223411798477173,0.7158154050509135
2814797,@115858 your products are junk. My headphones broke within 3 months of purchase with my iPhone 7. I've barely even used it and I'm in a temperate climate. What excuse do you have for such a short lived trash product for that price?!,hardware_accessories,0.6011408567428589,0.5977039138476054
2578723,"Every time I try to type “it”, my phone autocorrects to “I.T” WTF @115858 @AppleSupport. These updates have been pure trash!",keyboard_input,0.7771629691123962,0.7683517336845398
2283391,@AppleSupport 3D touch in screen #ios11 isn’t work why?,hardware_accessories,0.7317038774490356,0.7272321780522665
1974749,Why does my I️ key keep coming out like the question mark symbol? @AppleSupport,keyboard_input,0.779303252696991,0.7779534657796224
